trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.85, 'e': 6.144212353328214e-06}",20,10,20.023277888689435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.85, 'e': 5.559513241650149e-06}",25,10,26.03710559567104,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.85, 'e': 5.030455607111451e-06}",25,13,19.21063764272793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.85, 'e': 4.5517444630832345e-06}",20,13,13.48028023689645,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.85, 'e': 4.118588707535711e-06}",20,10,17.231786866349918,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.85, 'e': 3.7266531720786735e-06}",20,6,24.39780158596072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.85, 'e': 3.3720152341391866e-06}",20,0,-13.482043278733588,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
127,False,"{'a': 0.85, 'e': 3.0511255580364246e-06}",30,3,46.34211763221821,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.85, 'e': 2.7607725720372008e-06}",20,8,23.54921253142666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.85, 'e': 2.4980503258666366e-06}",35,23,22.974833941804526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.85, 'e': 2.260329406981056e-06}",30,17,25.147818514685856,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.85, 'e': 2.045230624523491e-06}",25,12,24.826284019614512,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.85, 'e': 1.8506011975819094e-06}",25,15,19.036740615502016,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.85, 'e': 1.6744932094342673e-06}",20,3,31.955259210427677,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.85, 'e': 1.5151441121432503e-06}",25,11,23.017234771919924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.85, 'e': 1.3709590863840853e-06}",20,11,16.04350118525521,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.85, 'e': 1.2404950799567143e-06}",25,3,43.04207222981761,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.85, 'e': 1.122446365234345e-06}",25,2,38.68769581092006,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.85, 'e': 1.015631471002491e-06}",20,2,30.303298265229742,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.85, 'e': 9.189813578979578e-07}",25,8,29.75971207392237,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.85, 'e': 0}",30,16,26.172263117729543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.85, 'e': 0}",25,11,25.596203321937672,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.85, 'e': 0}",25,17,14.631795461641413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.85, 'e': 0}",30,19,18.85621012329715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.85, 'e': 0}",25,12,28.315011495114803,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.85, 'e': 0}",20,10,21.60111620844223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.85, 'e': 0}",20,7,21.94483828002909,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.85, 'e': 0}",25,8,29.755357781822404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.85, 'e': 0}",30,12,34.52798929827021,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.85, 'e': 0}",20,6,26.23017636091998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
