trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-36.02666201780685,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,11,25.35294289649165,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-40.83425730163076,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-12.69482819017525,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-40.345255174625905,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-31.104303500680373,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,23.21410520540754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",20,0,25.974147649633498,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",30,0,40.651048661181214,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",20,0,26.532668295220112,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",25,5,33.07875335097073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",20,0,-38.96333224961578,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0}",35,0,17.739955969719304,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",25,0,17.488622316564822,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",20,0,21.255766548588756,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0}",20,0,25.15236027274627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",20,0,31.440112115973708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 0}",20,0,23.318437971424068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.5, 'e': 0}",20,0,-27.465036914931368,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,True,"{'a': 0.5, 'e': 0}",25,0,-27.99682588872864,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,True,"{'a': 0.5, 'e': 0}",20,0,-16.287896559868592,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,True,"{'a': 0.5, 'e': 0}",20,0,30.02442820007836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.5, 'e': 0}",20,0,-15.162847633303826,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,True,"{'a': 0.5, 'e': 0}",25,0,35.81154998206633,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.5, 'e': 0}",25,0,33.225150418635714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.5, 'e': 0}",30,0,37.030835991174726,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.5, 'e': 0}",25,0,40.702656879509945,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
